standardized_venue,teams_recommended,average_score
Queens Sports Club,3,73.50954600954601
Harare Sports Club,3,59.21307858807859
Wanderers Stadium,3,56.14543900721785
Mangaung Oval,2,72.98659673659674
Buffalo Park,1,85.63270063270063
Newlands,1,76.6479353979354
SuperSport Park,1,70.54279054279054
