standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Newlands,Ireland,,,,62.11954711954712,62.11954711954712,3,Team Fallback
Kingsmead,Ireland,,,,62.11954711954712,62.11954711954712,4,Team Fallback
St George's Park,Ireland,,,,62.11954711954712,62.11954711954712,5,Team Fallback
Mangaung Oval,Ireland,,,,62.11954711954712,62.11954711954712,6,Team Fallback
Boland Park,Ireland,,,,62.11954711954712,62.11954711954712,7,Team Fallback
Buffalo Park,Ireland,,,,62.11954711954712,62.11954711954712,8,Team Fallback
Harare Sports Club,Ireland,50.649350649350644,73.58974358974359,62.11954711954712,62.11954711954712,62.11954711954712,9,Historical Venue Data
Queens Sports Club,Ireland,,,,62.11954711954712,62.11954711954712,10,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Ireland,,,,62.11954711954712,62.11954711954712,11,Team Fallback
Namibia Cricket Ground,Ireland,,,,62.11954711954712,62.11954711954712,12,Team Fallback
Wanderers Stadium,Namibia,,,,53.57642357642358,53.57642357642358,1,Team Fallback
SuperSport Park,Namibia,,,,53.57642357642358,53.57642357642358,2,Team Fallback
Newlands,Namibia,,,,53.57642357642358,53.57642357642358,3,Team Fallback
Kingsmead,Namibia,,,,53.57642357642358,53.57642357642358,4,Team Fallback
St George's Park,Namibia,,,,53.57642357642358,53.57642357642358,5,Team Fallback
Mangaung Oval,Namibia,,,,53.57642357642358,53.57642357642358,6,Team Fallback
Boland Park,Namibia,,,,53.57642357642358,53.57642357642358,7,Team Fallback
Buffalo Park,Namibia,,,,53.57642357642358,53.57642357642358,8,Team Fallback
Harare Sports Club,Namibia,,,,53.57642357642358,53.57642357642358,9,Team Fallback
Queens Sports Club,Namibia,,,,53.57642357642358,53.57642357642358,10,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Namibia,,,,53.57642357642358,53.57642357642358,11,Team Fallback
Namibia Cricket Ground,Namibia,40.42207792207792,66.73076923076924,53.57642357642358,53.57642357642358,53.57642357642358,12,Historical Venue Data
Harare Sports Club,New Zealand,73.18181818181817,36.44230769230769,54.81206293706293,42.43652181152181,54.81206293706293,1,Historical Venue Data
Wanderers Stadium,New Zealand,,,,42.43652181152181,42.43652181152181,2,Team Fallback
Newlands,New Zealand,,,,42.43652181152181,42.43652181152181,3,Team Fallback
St George's Park,New Zealand,,,,42.43652181152181,42.43652181152181,4,Team Fallback
